p,T,viscosity,Phase
4.49E+07,323,0.0002706,liquid
5.53E+07,323,0.0002994,liquid
5.53E+07,323,0.0002993,liquid
6.23E+07,323,0.0003127,liquid
6.31E+07,323,0.0003146,liquid
6.97E+07,323,0.0003251,liquid
6.98E+07,323,0.0003264,liquid
1.05E+07,348,0.0001659,liquid
1.06E+07,348,0.0001655,liquid
1.06E+07,348,0.0001664,liquid
1.09E+07,348,0.0001667,liquid
1.28E+07,348,0.0001704,liquid
1.28E+07,348,0.0001689,liquid
1.56E+07,348,0.0001783,liquid
1.57E+07,348,0.0001797,liquid
1.59E+07,348,0.0001804,liquid
1.65E+07,348,0.0001801,liquid
1.66E+07,348,0.0001795,liquid
2.08E+07,348,0.0001971,liquid
2.08E+07,348,0.0001977,liquid
2.08E+07,348,0.0001991,liquid
2.09E+07,348,0.0001972,liquid
2.10E+07,348,0.0001977,liquid
2.78E+07,348,0.0001987,liquid
2.84E+07,348,0.0002012,liquid
2.85E+07,348,0.0001987,liquid
3.50E+07,348,0.0002085,liquid
3.65E+07,348,0.0002147,liquid
4.51E+07,348,0.0002333,liquid
4.58E+07,348,0.0002345,liquid
5.52E+07,348,0.0002578,liquid
5.55E+07,348,0.0002557,liquid
6.29E+07,348,0.000267,liquid
6.32E+07,348,0.0002698,liquid
6.95E+07,348,0.0002788,liquid
6.99E+07,348,0.0002808,liquid
7.03E+07,348,0.0002822,liquid
1.23E+07,373,0.0001392,liquid
1.58E+07,373,0.0001479,liquid
2.09E+07,373,0.0001596,liquid
2.09E+07,373,0.000159,liquid
2.82E+07,373,0.0001727,liquid
2.83E+07,373,0.0001759,liquid
3.64E+07,373,0.0001955,liquid
3.65E+07,373,0.0001932,liquid
3.81E+07,373,0.0001999,liquid
4.56E+07,373,0.0002032,liquid
4.64E+07,373,0.0002027,liquid
5.52E+07,373,0.000218,liquid
6.33E+07,373,0.0002312,liquid
6.33E+07,373,0.0002305,liquid
7.00E+07,373,0.0002406,liquid
1.09E+07,398,0.000116,liquid
1.44E+07,398,0.0001224,liquid
1.71E+07,398,0.0001269,liquid
2.10E+07,398,0.0001364,liquid
2.11E+07,398,0.0001354,liquid
2.11E+07,398,0.0001359,liquid
2.45E+07,398,0.0001416,liquid
2.79E+07,398,0.0001495,liquid
3.00E+07,398,0.000147,liquid
3.46E+07,398,0.0001595,liquid
3.49E+07,398,0.0001586,liquid
3.80E+07,398,0.0001664,liquid
3.90E+07,398,0.0001674,liquid
3.97E+07,398,0.0001698,liquid
4.20E+07,398,0.0001795,liquid
4.20E+07,398,0.0001772,liquid
4.51E+07,398,0.0001832,liquid
4.52E+07,398,0.0001835,liquid
4.85E+07,398,0.0001889,liquid
4.87E+07,398,0.0001886,liquid
4.87E+07,398,0.000187,liquid
5.18E+07,398,0.0001957,liquid
5.18E+07,398,0.0001948,liquid
5.48E+07,398,0.0002035,liquid
5.49E+07,398,0.0002039,liquid
5.53E+07,398,0.0002044,liquid
5.54E+07,398,0.0002059,liquid
5.59E+07,398,0.0002081,liquid
5.59E+07,398,0.0002076,liquid
5.84E+07,398,0.0002103,liquid
6.16E+07,398,0.000205,liquid
6.26E+07,398,0.0002064,liquid
6.31E+07,398,0.0002109,liquid
6.54E+07,398,0.000209,liquid
6.54E+07,398,0.0002117,liquid
6.90E+07,398,0.0002087,liquid
6.91E+07,398,0.0002072,liquid
6.99E+07,398,0.000209,liquid
6.99E+07,398,0.0002086,liquid
1.11E+07,413,0.000108,liquid
1.41E+07,413,0.000115,liquid
2.05E+07,413,0.0001255,liquid
2.77E+07,413,0.0001366,liquid
3.59E+07,413,0.0001513,liquid
4.49E+07,413,0.0001646,liquid
5.45E+07,413,0.0001778,liquid
6.19E+07,413,0.0001938,liquid
6.86E+07,413,0.0002089,liquid
